State,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
AL,71735,71167,70677,69227,67257,65667,65046,64959,64914,64165
AK,5881,5487,5519,5259,5045,4857,4848,4792,4593,4798
AZ,70281,66145,65070,65786,65045,62631,60586,60129,59575,59995
AR,37099,36675,36389,35755,34897,34024,33493,33522,32953,33504
CA,340836,348796,343862,340115,335539,332857,329534,326272,320784,322849
CO,54634,53954,53382,52152,50437,48985,46968,46769,46606,46940
CT,31601,31596,31500,31639,31592,31190,30941,31269,31197,31294
DE,10245,10179,10467,10178,9931,9596,9308,9186,9028,8948
DC,3756,3691,3716,3622,3557,3528,3527,3572,3568,3591
FL,226514,221816,218826,215551,206982,201040,192702,191374,191855,195755
GA,133128,131456,124733,122802,118107,111535,109355,107488,108454,111722
HI,11024,10887,10749,10635,10301,10174,10099,10050,10066,9995
ID,18058,17709,17300,17199,16662,16154,15980,16315,15937,15801
IL,107525,107954,108011,107314,105223,104906,105297,104578,103234,105788
IN,82719,81529,81752,83183,78819,79204,78311,78923,76485,75761
IA,33537,33282,33482,33337,33161,31414,31641,31596,31274,31389
KS,31843,32190,32258,32103,31379,30710,30208,30572,30021,29900
KY,49410,49544,49239,49313,48675,47941,46996,47344,48061,48007
LA,51360,50045,49221,49156,48180,48252,47758,46889,46513,45439
ME,14871,14784,14738,14838,14629,14301,14129,14199,14248,14549
MD,60216,59775,60045,59137,57516,56432,56688,56476,56221,56126
MA,64890,66772,62660,61825,59257,57552,56311,55940,54792,54362
MI,102174,102398,101757,99433,97843,97384,95132,94548,94754,97567
MN,60731,60438,59971,59029,57395,57395,56974,56988,56685,56632
MS,41091,40730,40877,40755,39890,39499,38758,38667,38851,39841
MO,79168,76595,75911,74019,71918,70909,69458,68504,68789,70864
MT,12892,12700,12645,12599,12345,12157,12033,11885,11660,11190
NE,21242,20975,21002,20700,20101,19613,19322,19277,19093,19438
NV,28794,28319,27587,26788,25925,25302,24649,24148,24189,22201
NH,13828,13776,13681,13513,13094,12970,12903,12894,12720,13065
NJ,78205,77539,77509,77093,75393,74856,74530,74225,73094,73028
NM,27772,27288,27836,27886,27435,25347,25086,25562,25650,25274
NY,123986,123510,123477,122337,121699,123984,124355,122903,122517,131252
NC,122475,121127,119176,116749,111879,108012,105213,104950,103772,102385
ND,9826,9856,9717,9739,10036,10511,10100,10081,9131,8262
OH,114694,114474,119598,118608,113673,112766,112767,112715,111990,111836
OK,44648,45433,49402,49013,47713,47699,47999,47872,47464,47746
OR,35808,36848,36753,36719,35999,34610,33706,33173,33373,33774
PA,102864,102109,101614,101362,100945,99882,98628,98884,99204,100329
RI,7581,8009,8001,7927,7833,7677,7775,7807,7901,8280
SC,57939,56801,55497,54553,51726,49931,48986,49036,48730,49124
SD,9922,9719,9643,9507,9324,9225,9122,9113,9002,8866
TN,82892,81321,82253,76884,76670,72336,71067,71167,70751,70439
TX,288227,282037,272981,271263,258122,243076,244525,237836,237440,234016
UT,32911,32069,31475,31449,29604,27554,27005,26528,26222,26585
VT,7346,7346,7424,7382,7314,7059,7116,7216,7141,7248
VA,85432,85336,85263,84463,82625,80985,80767,80959,80974,82171
WA,62530,62367,61420,61018,59653,58060,57211,56762,56955,57190
WV,19077,19447,19072,19539,19827,19117,19232,19226,18963,19203
WI,66348,65885,65324,64046,62073,60053,59486,59087,58554,59420
WY,10208,10438,9785,9323,9597,9457,9309,9271,9245,9363
TOTAL,3261772,3240327,3210248,3173815,3089841,3020377,2982941,2963497,2945194,2967266
